epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4834.03,0.56714,0.42232,0.94397,0.53848,0.37799,0.40529,0.27038,1.01008,0.78932,1.1964,0.008614,0.008614,0.008614
44,4945.75,0.56659,0.44595,0.94492,0.73409,0.37596,0.40709,0.27355,1.0022,0.79021,1.18605,0.008581,0.008581,0.008581
45,5058.38,0.56292,0.42451,0.94517,0.48437,0.37819,0.41005,0.27495,1.00956,0.79177,1.19311,0.008548,0.008548,0.008548
46,5169.83,0.55567,0.41712,0.93921,0.71841,0.36527,0.41085,0.27588,1.00763,0.79309,1.19335,0.008515,0.008515,0.008515
47,5282.46,0.55153,0.41171,0.9383,0.55661,0.38123,0.41096,0.2757,1.00175,0.77532,1.19203,0.008482,0.008482,0.008482
48,5394.06,0.55176,0.4111,0.93811,0.72025,0.36317,0.41504,0.27702,1.00289,0.77328,1.1935,0.008449,0.008449,0.008449
49,5506.59,0.55198,0.41555,0.94399,0.68153,0.36546,0.42191,0.28118,0.99342,0.7665,1.18054,0.008416,0.008416,0.008416
50,5618.4,0.55043,0.40712,0.93633,0.73295,0.36084,0.41315,0.27855,0.98957,0.76703,1.17706,0.008383,0.008383,0.008383
51,5731,0.53989,0.4059,0.93327,0.70985,0.37513,0.41747,0.27842,0.99926,0.77311,1.177,0.00835,0.00835,0.00835
52,5842.72,0.53484,0.39973,0.93128,0.53738,0.39425,0.42384,0.28349,0.99659,0.77223,1.18048,0.008317,0.008317,0.008317
53,5955.55,0.53563,0.40251,0.92983,0.54501,0.40337,0.4289,0.2853,0.97917,0.75024,1.16338,0.008284,0.008284,0.008284
54,6067.25,0.53277,0.39965,0.93085,0.55606,0.40535,0.42541,0.28362,0.99472,0.76,1.17631,0.008251,0.008251,0.008251
55,6179.85,0.53391,0.39873,0.93267,0.49152,0.39532,0.43069,0.28951,0.98305,0.74412,1.16294,0.008218,0.008218,0.008218
56,6291.61,0.51999,0.39146,0.92655,0.48421,0.41463,0.43593,0.29341,0.9756,0.74091,1.17,0.008185,0.008185,0.008185
