epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4807.79,0.55458,0.42035,0.93291,0.68934,0.34902,0.38953,0.26206,1.03872,0.83391,1.19244,0.008614,0.008614,0.008614
44,4918.85,0.56073,0.42477,0.93675,0.44293,0.36566,0.39428,0.26329,1.03111,0.81338,1.19091,0.008581,0.008581,0.008581
45,5031.03,0.54515,0.41571,0.93028,0.66938,0.37614,0.39569,0.26292,1.03454,0.82631,1.19183,0.008548,0.008548,0.008548
46,5142.23,0.55082,0.41845,0.93262,0.72729,0.35211,0.39766,0.26607,1.04047,0.81636,1.19112,0.008515,0.008515,0.008515
47,5254.36,0.54446,0.41299,0.92937,0.49293,0.3665,0.40367,0.26913,1.02508,0.8051,1.17951,0.008482,0.008482,0.008482
48,5365.75,0.54386,0.40991,0.92866,0.52895,0.38195,0.4078,0.27041,1.01288,0.79574,1.17934,0.008449,0.008449,0.008449
49,5477.93,0.54214,0.41075,0.9304,0.57407,0.3611,0.40281,0.27051,1.01755,0.81107,1.17734,0.008416,0.008416,0.008416
50,5589.05,0.53781,0.40341,0.92386,0.60147,0.38344,0.41719,0.28044,1.00503,0.77775,1.16056,0.008383,0.008383,0.008383
51,5701.24,0.53181,0.40114,0.92217,0.63806,0.36749,0.4102,0.27235,1.0171,0.79273,1.17552,0.00835,0.00835,0.00835
52,5812.5,0.53013,0.40112,0.9251,0.55482,0.38549,0.41405,0.27844,1.01131,0.79376,1.1601,0.008317,0.008317,0.008317
53,5924.52,0.52677,0.39754,0.91996,0.66409,0.37692,0.41907,0.28294,1.00306,0.78523,1.16269,0.008284,0.008284,0.008284
54,6035.85,0.51974,0.39117,0.91755,0.58629,0.37279,0.41813,0.27961,1.00366,0.77749,1.15851,0.008251,0.008251,0.008251
55,6147.96,0.52615,0.39626,0.92231,0.70702,0.38799,0.42454,0.28191,1.00247,0.76981,1.16215,0.008218,0.008218,0.008218
56,6258.98,0.51008,0.38466,0.91719,0.81846,0.37552,0.42979,0.2849,1.00574,0.77164,1.16402,0.008185,0.008185,0.008185
57,6371.13,0.51269,0.38409,0.91041,0.6193,0.37245,0.42194,0.28101,1.00424,0.7709,1.16231,0.008152,0.008152,0.008152
58,6482.35,0.50274,0.38057,0.91231,0.68447,0.38896,0.42057,0.28077,0.99961,0.77542,1.15736,0.008119,0.008119,0.008119
